2015-05-04 21:44:41.315039 |      MouseMoveHooker |           NSMouseMoved | y=1378.0703125 x=461.76953125
2015-05-04 21:44:41.332512 |      MouseMoveHooker |           NSMouseMoved | y=1392.66796875 x=470.109375
2015-05-04 21:44:41.349079 |      MouseMoveHooker |           NSMouseMoved | y=1408.3046875 x=480.53515625
2015-05-04 21:44:41.366618 |      MouseMoveHooker |           NSMouseMoved | y=1424.984375 x=493.04296875
2015-05-04 21:44:41.383830 |      MouseMoveHooker |           NSMouseMoved | y=1440.62109375 x=506.59765625
2015-05-04 21:44:41.401477 |      MouseMoveHooker |           NSMouseMoved | y=1450.00390625 x=514.9375
2015-05-04 21:44:41.419563 |      MouseMoveHooker |           NSMouseMoved | y=1459.0390625 x=523.97265625
2015-05-04 21:44:46.294202 |      MouseMoveHooker |           NSMouseMoved | y=1458.34375 x=523.97265625
2015-05-04 21:44:46.310649 |      MouseMoveHooker |           NSMouseMoved | y=1454.17578125 x=523.97265625
2015-05-04 21:44:46.327857 |      MouseMoveHooker |           NSMouseMoved | y=1447.91796875 x=523.97265625
2015-05-04 21:44:46.344387 |      MouseMoveHooker |           NSMouseMoved | y=1438.53515625 x=525.015625
2015-05-04 21:44:46.361523 |      MouseMoveHooker |           NSMouseMoved | y=1428.11328125 x=526.05859375
2015-05-04 21:44:46.379064 |      MouseMoveHooker |           NSMouseMoved | y=1416.64453125 x=528.140625
2015-05-04 21:44:46.396130 |      MouseMoveHooker |           NSMouseMoved | y=1405.17578125 x=529.18359375
2015-05-04 21:44:46.412911 |      MouseMoveHooker |           NSMouseMoved | y=1396.8359375 x=530.2265625
2015-05-04 21:44:46.429623 |      MouseMoveHooker |           NSMouseMoved | y=1388.49609375 x=531.26953125
2015-05-04 21:44:46.447489 |      MouseMoveHooker |           NSMouseMoved | y=1381.546875 x=531.26953125
2015-05-04 21:44:47.193669 |      MouseMoveHooker |           NSMouseMoved | y=1364.546875 x=531.26953125
2015-05-04 21:44:47.210260 |      MouseMoveHooker |           NSMouseMoved | y=1335.546875 x=526.26953125
2015-05-04 21:44:47.227084 |      MouseMoveHooker |           NSMouseMoved | y=1282.7265625 x=517.234375
2015-05-04 21:44:47.243425 |      MouseMoveHooker |           NSMouseMoved | y=1218.08984375 x=508.89453125
2015-05-04 21:44:47.259166 |      MouseMoveHooker |           NSMouseMoved | y=1149.28125 x=499.51171875
2015-05-04 21:44:47.276899 |      MouseMoveHooker |           NSMouseMoved | y=1100.28515625 x=492.21484375
2015-05-04 21:44:47.292943 |      MouseMoveHooker |           NSMouseMoved | y=1079.43359375 x=488.04296875
