2015-05-01 14:15:54.371904 |      MouseMoveHooker |           NSMouseMoved | y=1614.20703125 x=505.63671875
2015-05-01 14:15:54.398185 |      MouseMoveHooker |           NSMouseMoved | y=1643.3984375 x=215.81640625
2015-05-01 14:15:54.408083 |      MouseMoveHooker |           NSMouseMoved | y=1643.3984375 x=215.81640625
2015-05-01 14:15:54.429049 |      MouseMoveHooker |           NSMouseMoved | y=1659.03515625 x=134.5
2015-05-01 14:15:54.444414 |      MouseMoveHooker |           NSMouseMoved | y=1670.15625 x=99.75
2015-05-01 14:15:54.457526 |      MouseMoveHooker |           NSMouseMoved | y=1676.41015625 x=83.0703125
2015-05-01 14:15:54.474803 |      MouseMoveHooker |           NSMouseMoved | y=1678.41015625 x=77.0703125
2015-05-01 14:15:54.657744 |      MouseMoveHooker |           NSMouseMoved | y=1678.41015625 x=75.0703125
2015-05-01 14:15:54.673416 |      MouseMoveHooker |           NSMouseMoved | y=1681.5390625 x=49.0078125
2015-05-01 14:15:54.690049 |      MouseMoveHooker |           NSMouseMoved | y=1687.79296875 x=10.43359375
2015-05-01 14:15:54.706267 |      MouseMoveHooker |           NSMouseMoved | y=1701.34375 x=-66.75390625
2015-05-01 14:15:54.724328 |      MouseMoveHooker |           NSMouseMoved | y=1727.41015625 x=-197.0703125
2015-05-01 14:15:54.741230 |      MouseMoveHooker |           NSMouseMoved | y=1750.34375 x=-283.59765625
2015-05-01 14:15:54.757836 |      MouseMoveHooker |           NSMouseMoved | y=1767.0234375 x=-343.0234375
2015-05-01 14:15:54.776079 |      MouseMoveHooker |           NSMouseMoved | y=1772.23828125 x=-359.703125
2015-05-01 14:15:54.794937 |      MouseMoveHooker |           NSMouseMoved | y=1779.53515625 x=-392.0234375
2015-05-01 14:15:55.041665 |      MouseMoveHooker |           NSMouseMoved | y=1780.53515625 x=-392.0234375
2015-05-01 14:15:55.059351 |      MouseMoveHooker |           NSMouseMoved | y=1782.62109375 x=-395.1484375
2015-05-01 14:15:55.074900 |      MouseMoveHooker |           NSMouseMoved | y=1785.74609375 x=-398.27734375
2015-05-01 14:15:55.097306 |      MouseMoveHooker |           NSMouseMoved | y=1793.04296875 x=-403.48828125
2015-05-01 14:15:55.109218 |      MouseMoveHooker |           NSMouseMoved | y=1793.04296875 x=-403.48828125
2015-05-01 14:15:55.127900 |      MouseMoveHooker |           NSMouseMoved | y=1795.12890625 x=-405.57421875
2015-05-01 14:15:55.145160 |      MouseMoveHooker |           NSMouseMoved | y=1796.171875 x=-406.6171875
2015-05-01 14:15:55.173985 |      MouseMoveHooker |           NSMouseMoved | y=1797.8671875 x=-407.3125
2015-05-01 14:15:55.198762 |      MouseMoveHooker |           NSMouseMoved | y=1797.8671875 x=-408.0078125
2015-05-01 14:15:55.209336 |      MouseMoveHooker |           NSMouseMoved | y=1798.91015625 x=-408.0078125
2015-05-01 14:15:55.219431 |      MouseMoveHooker |           NSMouseMoved | y=1798.91015625 x=-408.0078125
2015-05-01 14:15:55.251020 |      MouseMoveHooker |           NSMouseMoved | y=1799.91015625 x=-408.0078125
2015-05-01 14:15:55.268630 |      MouseMoveHooker |           NSMouseMoved | y=1799.91015625 x=-409.05078125
2015-05-01 14:15:55.287289 |      MouseMoveHooker |           NSMouseMoved | y=1800.953125 x=-409.05078125
2015-05-01 14:15:55.304411 |      MouseMoveHooker |           NSMouseMoved | y=1800.953125 x=-410.08984375
2015-05-01 14:15:55.324695 |      MouseMoveHooker |           NSMouseMoved | y=1801.99609375 x=-410.08984375
2015-05-01 14:15:55.338844 |      MouseMoveHooker |           NSMouseMoved | y=1801.99609375 x=-411.08984375
2015-05-01 14:15:55.372677 |      MouseMoveHooker |           NSMouseMoved | y=1802.99609375 x=-411.08984375
2015-05-01 14:15:55.389009 |      MouseMoveHooker |           NSMouseMoved | y=1802.99609375 x=-412.1328125
2015-05-01 14:15:55.407568 |      MouseMoveHooker |           NSMouseMoved | y=1804.0390625 x=-412.1328125
2015-05-01 14:15:55.423062 |      MouseMoveHooker |           NSMouseMoved | y=1805.078125 x=-413.17578125
2015-05-01 14:15:55.443579 |      MouseMoveHooker |           NSMouseMoved | y=1806.12109375 x=-414.21875
2015-05-01 14:15:55.456006 |      MouseMoveHooker |           NSMouseMoved | y=1808.20703125 x=-415.26171875
2015-05-01 14:15:55.475634 |      MouseMoveHooker |           NSMouseMoved | y=1809.59765625 x=-416.65234375
2015-05-01 14:15:55.490314 |      MouseMoveHooker |           NSMouseMoved | y=1809.59765625 x=-417.6953125
2015-05-01 14:15:55.513028 |      MouseMoveHooker |           NSMouseMoved | y=1811.68359375 x=-417.6953125
2015-05-01 14:15:55.523616 |      MouseMoveHooker |           NSMouseMoved | y=1811.68359375 x=-417.6953125
2015-05-01 14:15:55.542848 |      MouseMoveHooker |           NSMouseMoved | y=1811.68359375 x=-418.6953125
2015-05-01 14:15:55.742209 |    MouseButtonHooker |        NSLeftMouseDown | y=1811.68359375 x=-418.6953125
2015-05-01 14:15:55.775095 |    MouseButtonHooker |          NSLeftMouseUp | y=1811.68359375 x=-418.6953125
2015-05-01 14:15:56.006637 |      MouseMoveHooker |           NSMouseMoved | y=1808.5546875 x=-395.97265625
2015-05-01 14:15:56.020276 |      MouseMoveHooker |           NSMouseMoved | y=1796.04296875 x=-322.99609375
2015-05-01 14:15:56.033602 |      MouseMoveHooker |           NSMouseMoved | y=1796.04296875 x=-322.99609375
2015-05-01 14:15:56.046278 |      MouseMoveHooker |           NSMouseMoved | y=1771.0234375 x=-164.53125
2015-05-01 14:15:56.065024 |      MouseMoveHooker |           NSMouseMoved | y=1748.08984375 x=11.6953125
2015-05-01 14:15:56.082274 |      MouseMoveHooker |           NSMouseMoved | y=1718.8984375 x=203.51953125
2015-05-01 14:15:56.099810 |      MouseMoveHooker |           NSMouseMoved | y=1686.58203125 x=383.875
2015-05-01 14:15:56.117966 |      MouseMoveHooker |           NSMouseMoved | y=1661.55859375 x=496.46875
2015-05-01 14:15:56.138290 |      MouseMoveHooker |           NSMouseMoved | y=1626.4609375 x=603.5
2015-05-01 14:15:56.151881 |      MouseMoveHooker |           NSMouseMoved | y=1626.4609375 x=603.5
2015-05-01 14:15:56.326895 |      MouseMoveHooker |           NSMouseMoved | y=1626.4609375 x=604.5
2015-05-01 14:15:56.342585 |      MouseMoveHooker |           NSMouseMoved | y=1624.375 x=631.60546875
2015-05-01 14:15:56.360118 |      MouseMoveHooker |           NSMouseMoved | y=1619.1640625 x=684.7734375
2015-05-01 14:15:56.376892 |      MouseMoveHooker |           NSMouseMoved | y=1612.91015625 x=791.109375
2015-05-01 14:15:56.394495 |      MouseMoveHooker |           NSMouseMoved | y=1599.35546875 x=963.125
2015-05-01 14:15:56.412757 |      MouseMoveHooker |           NSMouseMoved | y=1580.58984375 x=1089.26953125
2015-05-01 14:15:56.428361 |      MouseMoveHooker |           NSMouseMoved | y=1563.91015625 x=1184.140625
2015-05-01 14:15:56.447189 |      MouseMoveHooker |           NSMouseMoved | y=1554.52734375 x=1216.45703125
2015-05-01 14:15:56.460968 |      MouseMoveHooker |           NSMouseMoved | y=1544.796875 x=1252.59765625
2015-05-01 14:15:56.480592 |      MouseMoveHooker |           NSMouseMoved | y=1539.5859375 x=1255.7265625
2015-05-01 14:15:56.496509 |      MouseMoveHooker |           NSMouseMoved | y=1538.5859375 x=1254.7265625
2015-05-01 14:15:56.683300 |      MouseMoveHooker |           NSMouseMoved | y=1538.5859375 x=1252.7265625
2015-05-01 14:15:56.698629 |      MouseMoveHooker |           NSMouseMoved | y=1544.83984375 x=1245.4296875
2015-05-01 14:15:56.717501 |      MouseMoveHooker |           NSMouseMoved | y=1551.09375 x=1237.0859375
2015-05-01 14:15:56.735912 |      MouseMoveHooker |           NSMouseMoved | y=1558.39453125 x=1227.703125
2015-05-01 14:15:56.749478 |      MouseMoveHooker |           NSMouseMoved | y=1563.60546875 x=1217.28125
2015-05-01 14:15:56.769601 |      MouseMoveHooker |           NSMouseMoved | y=1569.859375 x=1208.94140625
2015-05-01 14:15:56.786589 |      MouseMoveHooker |           NSMouseMoved | y=1575.07421875 x=1199.55859375
2015-05-01 14:15:56.800737 |      MouseMoveHooker |           NSMouseMoved | y=1579.2421875 x=1193.30078125
2015-05-01 14:15:56.818658 |      MouseMoveHooker |           NSMouseMoved | y=1583.4140625 x=1186.00390625
2015-05-01 14:15:56.836984 |      MouseMoveHooker |           NSMouseMoved | y=1586.1953125 x=1182.52734375
2015-05-01 14:15:56.854218 |      MouseMoveHooker |           NSMouseMoved | y=1588.27734375 x=1179.40234375
2015-05-01 14:15:56.871573 |      MouseMoveHooker |           NSMouseMoved | y=1590.36328125 x=1177.31640625
2015-05-01 14:15:56.888633 |      MouseMoveHooker |           NSMouseMoved | y=1591.40625 x=1176.2734375
2015-05-01 14:15:56.918687 |      MouseMoveHooker |           NSMouseMoved | y=1592.40625 x=1175.2734375
2015-05-01 14:15:56.965817 |      MouseMoveHooker |           NSMouseMoved | y=1593.1015625 x=1174.578125
2015-05-01 14:15:56.991058 |      MouseMoveHooker |           NSMouseMoved | y=1593.796875 x=1173.8828125
2015-05-01 14:15:57.015830 |      MouseMoveHooker |           NSMouseMoved | y=1594.4921875 x=1173.1875
2015-05-01 14:15:57.030059 |      MouseMoveHooker |           NSMouseMoved | y=1596.57421875 x=1172.1484375
2015-05-01 14:15:57.047502 |      MouseMoveHooker |           NSMouseMoved | y=1598.66015625 x=1170.0625
2015-05-01 14:15:57.067368 |      MouseMoveHooker |           NSMouseMoved | y=1600.74609375 x=1169.01953125
2015-05-01 14:15:57.082562 |      MouseMoveHooker |           NSMouseMoved | y=1603.875 x=1166.93359375
2015-05-01 14:15:57.101289 |      MouseMoveHooker |           NSMouseMoved | y=1605.95703125 x=1164.84765625
2015-05-01 14:15:57.119338 |      MouseMoveHooker |           NSMouseMoved | y=1608.04296875 x=1163.45703125
2015-05-01 14:15:57.135102 |      MouseMoveHooker |           NSMouseMoved | y=1609.0859375 x=1162.41796875
2015-05-01 14:15:57.150623 |      MouseMoveHooker |           NSMouseMoved | y=1611.171875 x=1161.375
2015-05-01 14:15:57.168746 |      MouseMoveHooker |           NSMouseMoved | y=1612.21484375 x=1160.33203125
2015-05-01 14:15:57.189727 |      MouseMoveHooker |           NSMouseMoved | y=1612.91015625 x=1160.33203125
